2023-04-02 00:07:09,692 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单开始时间']]输入框进行清空
2023-04-02 00:07:09,717 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单开始时间']]输入框输入内容：2012-02-01 00:00:00
2023-04-02 00:07:09,798 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单结束时间']]
2023-04-02 00:07:09,807 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单结束时间']]输入框进行清空
2023-04-02 00:07:09,833 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单结束时间']]输入框输入内容：2023-04-04 00:00:00
2023-04-02 00:07:09,915 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_status]
2023-04-02 00:07:09,932 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:0
2023-04-02 00:07:09,996 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_code]
2023-04-02 00:07:10,013 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:0
2023-04-02 00:07:10,075 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:shipping_status]
2023-04-02 00:07:10,093 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:2
2023-04-02 00:07:10,159 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:order_status]
2023-04-02 00:07:10,177 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:2
2023-04-02 00:07:10,255 INFO [root] [base_page.py | base_click:42] - 正在点击[css selector:[value='搜索']]元素
2023-04-02 00:07:10,255 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[value='搜索']]
2023-04-02 00:07:11,320 INFO [root] [base_page.py | base_iframe_default:56] - 返回到默认表单!
2023-04-02 00:07:11,323 INFO [root] [page_shop.py | page_search_order:44] - 正在执行TPshop后台系统，订单查询测试用例！
2023-04-02 00:07:11,323 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:#workspace]
2023-04-02 00:07:11,331 INFO [root] [base_page.py | base_iframe_switch_to:52] - 正在切换到：<selenium.webdriver.remote.webelement.WebElement (session="212563f2613a7646441b5ca63ecefc4a", element="d2b1c921-e467-4d36-8106-f92a06c11e22")> iframe表单
2023-04-02 00:07:11,346 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单开始时间']]
2023-04-02 00:07:11,355 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单开始时间']]输入框进行清空
2023-04-02 00:07:11,380 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单开始时间']]输入框输入内容：2012-02-01 00:00:00
2023-04-02 00:07:11,461 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单结束时间']]
2023-04-02 00:07:11,470 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单结束时间']]输入框进行清空
2023-04-02 00:07:11,493 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单结束时间']]输入框输入内容：2023-04-04 00:00:00
2023-04-02 00:07:11,574 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_status]
2023-04-02 00:07:11,591 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:11,647 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_code]
2023-04-02 00:07:11,663 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:1
2023-04-02 00:07:11,716 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:shipping_status]
2023-04-02 00:07:11,731 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:2
2023-04-02 00:07:11,772 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:order_status]
2023-04-02 00:07:11,788 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:2
2023-04-02 00:07:11,832 INFO [root] [base_page.py | base_click:42] - 正在点击[css selector:[value='搜索']]元素
2023-04-02 00:07:11,833 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[value='搜索']]
2023-04-02 00:07:12,898 INFO [root] [base_page.py | base_iframe_default:56] - 返回到默认表单!
2023-04-02 00:07:12,901 INFO [root] [page_shop.py | page_search_order:44] - 正在执行TPshop后台系统，订单查询测试用例！
2023-04-02 00:07:12,901 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:#workspace]
2023-04-02 00:07:12,908 INFO [root] [base_page.py | base_iframe_switch_to:52] - 正在切换到：<selenium.webdriver.remote.webelement.WebElement (session="212563f2613a7646441b5ca63ecefc4a", element="d2b1c921-e467-4d36-8106-f92a06c11e22")> iframe表单
2023-04-02 00:07:12,922 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单开始时间']]
2023-04-02 00:07:12,929 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单开始时间']]输入框进行清空
2023-04-02 00:07:12,953 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单开始时间']]输入框输入内容：2012-02-01 00:00:00
2023-04-02 00:07:13,028 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[placeholder='下单结束时间']]
2023-04-02 00:07:13,036 INFO [root] [base_page.py | base_input:36] - 正在对[css selector:[placeholder='下单结束时间']]输入框进行清空
2023-04-02 00:07:13,061 INFO [root] [base_page.py | base_input:38] - 正在对[css selector:[placeholder='下单结束时间']]输入框输入内容：2023-04-04 00:00:00
2023-04-02 00:07:13,136 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_status]
2023-04-02 00:07:13,152 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:0
2023-04-02 00:07:13,195 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:pay_code]
2023-04-02 00:07:13,211 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:0
2023-04-02 00:07:13,254 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:shipping_status]
2023-04-02 00:07:13,269 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:2
2023-04-02 00:07:13,308 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:order_status]
2023-04-02 00:07:13,323 INFO [root] [base_page.py | base_select_find:26] - 正在定位下拉框：index:3
2023-04-02 00:07:13,394 INFO [root] [base_page.py | base_click:42] - 正在点击[css selector:[value='搜索']]元素
2023-04-02 00:07:13,394 INFO [root] [base_page.py | base_find:18] - 正在定位元素[css selector:[value='搜索']]
